Group Size,Best Estimate (Assumes 40% of Infections are Asymp/Presymp),Estimate Range (Assumes 10-70% of Infections are Asymp/Presymp),Date Updated: 11-23-2020
254,1.36,0.34-2.38,
255,1.36,0.34-2.38,
256,1.37,0.34-2.39,
257,1.37,0.34-2.40,
258,1.38,0.34-2.41,
259,1.38,0.34-2.42,
260,1.39,0.34-2.43,
261,1.39,0.34-2.44,
262,1.40,0.35-2.45,
263,1.40,0.35-2.46,
264,1.41,0.35-2.47,
265,1.41,0.35-2.48,
266,1.42,0.35-2.49,
267,1.42,0.35-2.50,
268,1.43,0.35-2.51,
269,1.44,0.36-2.52,
270,1.44,0.36-2.53,
271,1.45,0.36-2.53,
272,1.45,0.36-2.54,
273,1.46,0.36-2.55,
274,1.46,0.36-2.56,
275,1.47,0.36-2.57,
276,1.47,0.36-2.58,
277,1.48,0.37-2.59,
278,1.48,0.37-2.60,
279,1.49,0.37-2.61,
280,1.49,0.37-2.62,
281,1.50,0.37-2.63,
282,1.51,0.37-2.64,
283,1.51,0.37-2.65,
284,1.52,0.38-2.66,
285,1.52,0.38-2.67,
286,1.53,0.38-2.68,
287,1.53,0.38-2.68,
288,1.54,0.38-2.69,
289,1.54,0.38-2.70,
290,1.55,0.38-2.71,
291,1.55,0.38-2.72,
292,1.56,0.39-2.73,
293,1.56,0.39-2.74,
294,1.57,0.39-2.75,
295,1.57,0.39-2.76,
296,1.58,0.39-2.77,
297,1.59,0.39-2.78,
298,1.59,0.39-2.79,
299,1.60,0.40-2.80,
300,1.60,0.40-2.81,
301,1.61,0.40-2.82,
302,1.61,0.40-2.83,
303,1.62,0.40-2.83,
304,1.62,0.40-2.84,
305,1.63,0.40-2.85,
306,1.63,0.40-2.86,
307,1.64,0.41-2.87,
308,1.64,0.41-2.88,
309,1.65,0.41-2.89,
310,1.66,0.41-2.90,
311,1.66,0.41-2.91,
312,1.67,0.41-2.92,
313,1.67,0.41-2.93,
314,1.68,0.42-2.94,
315,1.68,0.42-2.95,
316,1.69,0.42-2.96,
317,1.69,0.42-2.97,
318,1.70,0.42-2.98,
319,1.70,0.42-2.98,
320,1.71,0.42-2.99,
321,1.71,0.42-3.00,
322,1.72,0.43-3.01,
323,1.72,0.43-3.02,
324,1.73,0.43-3.03,
325,1.74,0.43-3.04,
326,1.74,0.43-3.05,
327,1.75,0.43-3.06,
328,1.75,0.43-3.07,
329,1.76,0.44-3.08,
330,1.76,0.44-3.09,
331,1.77,0.44-3.10,
332,1.77,0.44-3.11,
333,1.78,0.44-3.12,
334,1.78,0.44-3.13,
335,1.79,0.44-3.13,
336,1.79,0.44-3.14,
337,1.80,0.45-3.15,
338,1.81,0.45-3.16,
339,1.81,0.45-3.17,
340,1.82,0.45-3.18,
341,1.82,0.45-3.19,
342,1.83,0.45-3.20,
343,1.83,0.45-3.21,
344,1.84,0.46-3.22,
345,1.84,0.46-3.23,
346,1.85,0.46-3.24,
347,1.85,0.46-3.25,
348,1.86,0.46-3.26,
349,1.86,0.46-3.27,
350,1.87,0.46-3.27,
351,1.87,0.46-3.28,
352,1.88,0.47-3.29,
353,1.89,0.47-3.30,
354,1.89,0.47-3.31,
355,1.90,0.47-3.32,
356,1.90,0.47-3.33,
357,1.91,0.47-3.34,
358,1.91,0.47-3.35,
359,1.92,0.48-3.36,
360,1.92,0.48-3.37,
361,1.93,0.48-3.38,
362,1.93,0.48-3.39,
363,1.94,0.48-3.40,
364,1.94,0.48-3.41,
365,1.95,0.48-3.42,
366,1.95,0.48-3.42,
367,1.96,0.49-3.43,
368,1.97,0.49-3.44,
369,1.97,0.49-3.45,
370,1.98,0.49-3.46,
371,1.98,0.49-3.47,
372,1.99,0.49-3.48,
373,1.99,0.49-3.49,
374,2.00,0.50-3.50,
375,2.00,0.50-3.51,
376,2.01,0.50-3.52,
377,2.01,0.50-3.53,
378,2.02,0.50-3.54,
379,2.02,0.50-3.55,
380,2.03,0.50-3.56,
381,2.04,0.51-3.57,
382,2.04,0.51-3.57,
383,2.05,0.51-3.58,
384,2.05,0.51-3.59,
385,2.06,0.51-3.60,
386,2.06,0.51-3.61,
387,2.07,0.51-3.62,
388,2.07,0.51-3.63,
389,2.08,0.52-3.64,
390,2.08,0.52-3.65,
391,2.09,0.52-3.66,
392,2.09,0.52-3.67,
393,2.10,0.52-3.68,
394,2.10,0.52-3.69,
395,2.11,0.52-3.70,
396,2.12,0.53-3.71,
397,2.12,0.53-3.72,
398,2.13,0.53-3.72,
399,2.13,0.53-3.73,
400,2.14,0.53-3.74,
401,2.14,0.53-3.75,
402,2.15,0.53-3.76,
403,2.15,0.53-3.77,
404,2.16,0.54-3.78,
405,2.16,0.54-3.79,
406,2.17,0.54-3.80,
407,2.17,0.54-3.81,
408,2.18,0.54-3.82,
409,2.19,0.54-3.83,
410,2.19,0.54-3.84,
411,2.20,0.55-3.85,
412,2.20,0.55-3.86,
413,2.21,0.55-3.87,
414,2.21,0.55-3.87,
415,2.22,0.55-3.88,
416,2.22,0.55-3.89,
417,2.23,0.55-3.90,
418,2.23,0.55-3.91,
419,2.24,0.56-3.92,
420,2.24,0.56-3.93,
421,2.25,0.56-3.94,
422,2.25,0.56-3.95,
423,2.26,0.56-3.96,
424,2.27,0.56-3.97,
425,2.27,0.56-3.98,
426,2.28,0.57-3.99,
427,2.28,0.57-4.00,
428,2.29,0.57-4.01,
429,2.29,0.57-4.02,
430,2.30,0.57-4.02,
431,2.30,0.57-4.03,
432,2.31,0.57-4.04,
433,2.31,0.57-4.05,
434,2.32,0.58-4.06,
435,2.32,0.58-4.07,
436,2.33,0.58-4.08,
437,2.34,0.58-4.09,
438,2.34,0.58-4.10,
439,2.35,0.58-4.11,
440,2.35,0.58-4.12,
441,2.36,0.59-4.13,
442,2.36,0.59-4.14,
443,2.37,0.59-4.15,
444,2.37,0.59-4.16,
445,2.38,0.59-4.17,
446,2.38,0.59-4.17,
447,2.39,0.59-4.18,
448,2.39,0.59-4.19,
449,2.40,0.60-4.20,
450,2.40,0.60-4.21,
451,2.41,0.60-4.22,
452,2.42,0.60-4.23,
453,2.42,0.60-4.24,
454,2.43,0.60-4.25,
455,2.43,0.60-4.26,
456,2.44,0.61-4.27,
457,2.44,0.61-4.28,
458,2.45,0.61-4.29,
459,2.45,0.61-4.30,
460,2.46,0.61-4.31,
461,2.46,0.61-4.32,
462,2.47,0.61-4.32,
463,2.47,0.61-4.33,
464,2.48,0.62-4.34,
465,2.49,0.62-4.35,
466,2.49,0.62-4.36,
467,2.50,0.62-4.37,
468,2.50,0.62-4.38,
469,2.51,0.62-4.39,
470,2.51,0.62-4.40,
471,2.52,0.63-4.41,
472,2.52,0.63-4.42,
473,2.53,0.63-4.43,
474,2.53,0.63-4.44,
475,2.54,0.63-4.45,
476,2.54,0.63-4.46,
477,2.55,0.63-4.47,
478,2.55,0.63-4.47,
479,2.56,0.64-4.48,
