Group Size,Best Estimate (Assumes 40% of Infections are Asymp/Presymp),Estimate Range (Assumes 10-70% of Infections are Asymp/Presymp),Date Updated: 11-23-2020
1781,9.53,2.38-16.6,
1782,9.54,2.38-16.6,
1783,9.54,2.38-16.7,
1784,9.55,2.38-16.7,
1785,9.55,2.38-16.7,
1786,9.56,2.39-16.7,
1787,9.56,2.39-16.7,
1788,9.57,2.39-16.7,
1789,9.58,2.39-16.7,
1790,9.58,2.39-16.7,
1791,9.59,2.39-16.7,
1792,9.59,2.39-16.7,
1793,9.60,2.40-16.8,
1794,9.60,2.40-16.8,
1795,9.61,2.40-16.8,
1796,9.61,2.40-16.8,
1797,9.62,2.40-16.8,
1798,9.62,2.40-16.8,
1799,9.63,2.40-16.8,
1800,9.63,2.40-16.8,
1801,9.64,2.41-16.8,
1802,9.64,2.41-16.8,
1803,9.65,2.41-16.8,
1804,9.66,2.41-16.9,
1805,9.66,2.41-16.9,
1806,9.67,2.41-16.9,
1807,9.67,2.41-16.9,
1808,9.68,2.42-16.9,
1809,9.68,2.42-16.9,
1810,9.69,2.42-16.9,
1811,9.69,2.42-16.9,
1812,9.70,2.42-16.9,
1813,9.70,2.42-16.9,
1814,9.71,2.42-16.9,
1815,9.71,2.42-17.0,
1816,9.72,2.43-17.0,
1817,9.73,2.43-17.0,
1818,9.73,2.43-17.0,
1819,9.74,2.43-17.0,
1820,9.74,2.43-17.0,
1821,9.75,2.43-17.0,
1822,9.75,2.43-17.0,
1823,9.76,2.44-17.0,
1824,9.76,2.44-17.0,
1825,9.77,2.44-17.1,
1826,9.77,2.44-17.1,
1827,9.78,2.44-17.1,
1828,9.78,2.44-17.1,
1829,9.79,2.44-17.1,
1830,9.79,2.44-17.1,
1831,9.80,2.45-17.1,
1832,9.81,2.45-17.1,
1833,9.81,2.45-17.1,
1834,9.82,2.45-17.1,
1835,9.82,2.45-17.1,
1836,9.83,2.45-17.2,
1837,9.83,2.45-17.2,
1838,9.84,2.46-17.2,
1839,9.84,2.46-17.2,
1840,9.85,2.46-17.2,
1841,9.85,2.46-17.2,
1842,9.86,2.46-17.2,
1843,9.86,2.46-17.2,
1844,9.87,2.46-17.2,
1845,9.88,2.47-17.2,
1846,9.88,2.47-17.2,
1847,9.89,2.47-17.3,
1848,9.89,2.47-17.3,
1849,9.90,2.47-17.3,
1850,9.90,2.47-17.3,
1851,9.91,2.47-17.3,
1852,9.91,2.47-17.3,
1853,9.92,2.48-17.3,
1854,9.92,2.48-17.3,
1855,9.93,2.48-17.3,
1856,9.93,2.48-17.3,
1857,9.94,2.48-17.4,
1858,9.94,2.48-17.4,
1859,9.95,2.48-17.4,
1860,9.96,2.49-17.4,
1861,9.96,2.49-17.4,
1862,9.97,2.49-17.4,
1863,9.97,2.49-17.4,
1864,9.98,2.49-17.4,
1865,9.98,2.49-17.4,
1866,9.99,2.49-17.4,
1867,9.99,2.49-17.4,
1868,10.0,2.50-17.5,
1869,10.0,2.50-17.5,
1870,10.0,2.50-17.5,
1871,10.0,2.50-17.5,
1872,10.0,2.50-17.5,
1873,10.0,2.50-17.5,
1874,10.0,2.50-17.5,
1875,10.0,2.51-17.5,
1876,10.0,2.51-17.5,
1877,10.0,2.51-17.5,
1878,10.0,2.51-17.5,
1879,10.0,2.51-17.6,
1880,10.0,2.51-17.6,
1881,10.0,2.51-17.6,
1882,10.0,2.51-17.6,
1883,10.0,2.52-17.6,
1884,10.0,2.52-17.6,
1885,10.0,2.52-17.6,
1886,10.0,2.52-17.6,
1887,10.1,2.52-17.6,
1888,10.1,2.52-17.6,
1889,10.1,2.52-17.7,
1890,10.1,2.53-17.7,
1891,10.1,2.53-17.7,
1892,10.1,2.53-17.7,
1893,10.1,2.53-17.7,
1894,10.1,2.53-17.7,
1895,10.1,2.53-17.7,
1896,10.1,2.53-17.7,
1897,10.1,2.53-17.7,
1898,10.1,2.54-17.7,
1899,10.1,2.54-17.7,
1900,10.1,2.54-17.8,
1901,10.1,2.54-17.8,
1902,10.1,2.54-17.8,
1903,10.1,2.54-17.8,
1904,10.1,2.54-17.8,
1905,10.2,2.55-17.8,
1906,10.2,2.55-17.8,
1907,10.2,2.55-17.8,
1908,10.2,2.55-17.8,
1909,10.2,2.55-17.8,
1910,10.2,2.55-17.8,
1911,10.2,2.55-17.9,
1912,10.2,2.55-17.9,
1913,10.2,2.56-17.9,
1914,10.2,2.56-17.9,
1915,10.2,2.56-17.9,
1916,10.2,2.56-17.9,
1917,10.2,2.56-17.9,
1918,10.2,2.56-17.9,
1919,10.2,2.56-17.9,
1920,10.2,2.57-17.9,
1921,10.2,2.57-18.0,
1922,10.2,2.57-18.0,
1923,10.2,2.57-18.0,
1924,10.3,2.57-18.0,
1925,10.3,2.57-18.0,
1926,10.3,2.57-18.0,
1927,10.3,2.57-18.0,
1928,10.3,2.58-18.0,
1929,10.3,2.58-18.0,
1930,10.3,2.58-18.0,
1931,10.3,2.58-18.0,
1932,10.3,2.58-18.1,
1933,10.3,2.58-18.1,
1934,10.3,2.58-18.1,
1935,10.3,2.59-18.1,
1936,10.3,2.59-18.1,
1937,10.3,2.59-18.1,
1938,10.3,2.59-18.1,
1939,10.3,2.59-18.1,
1940,10.3,2.59-18.1,
1941,10.3,2.59-18.1,
1942,10.3,2.59-18.1,
1943,10.4,2.60-18.2,
1944,10.4,2.60-18.2,
1945,10.4,2.60-18.2,
1946,10.4,2.60-18.2,
1947,10.4,2.60-18.2,
1948,10.4,2.60-18.2,
1949,10.4,2.60-18.2,
1950,10.4,2.61-18.2,
1951,10.4,2.61-18.2,
1952,10.4,2.61-18.2,
1953,10.4,2.61-18.3,
1954,10.4,2.61-18.3,
1955,10.4,2.61-18.3,
1956,10.4,2.61-18.3,
1957,10.4,2.61-18.3,
1958,10.4,2.62-18.3,
1959,10.4,2.62-18.3,
1960,10.4,2.62-18.3,
1961,10.5,2.62-18.3,
1962,10.5,2.62-18.3,
1963,10.5,2.62-18.3,
1964,10.5,2.62-18.4,
1965,10.5,2.63-18.4,
1966,10.5,2.63-18.4,
1967,10.5,2.63-18.4,
1968,10.5,2.63-18.4,
1969,10.5,2.63-18.4,
1970,10.5,2.63-18.4,
1971,10.5,2.63-18.4,
1972,10.5,2.64-18.4,
1973,10.5,2.64-18.4,
1974,10.5,2.64-18.4,
1975,10.5,2.64-18.5,
1976,10.5,2.64-18.5,
1977,10.5,2.64-18.5,
1978,10.5,2.64-18.5,
1979,10.5,2.64-18.5,
1980,10.6,2.65-18.5,
1981,10.6,2.65-18.5,
1982,10.6,2.65-18.5,
1983,10.6,2.65-18.5,
1984,10.6,2.65-18.5,
1985,10.6,2.65-18.6,
1986,10.6,2.65-18.6,
1987,10.6,2.66-18.6,
1988,10.6,2.66-18.6,
1989,10.6,2.66-18.6,
1990,10.6,2.66-18.6,
1991,10.6,2.66-18.6,
1992,10.6,2.66-18.6,
1993,10.6,2.66-18.6,
1994,10.6,2.66-18.6,
1995,10.6,2.67-18.6,
1996,10.6,2.67-18.7,
1997,10.6,2.67-18.7,
1998,10.6,2.67-18.7,
1999,10.7,2.67-18.7,
2000,10.7,2.67-18.7,
2001,10.7,2.67-18.7,
2002,10.7,2.68-18.7,
2003,10.7,2.68-18.7,
2004,10.7,2.68-18.7,
2005,10.7,2.68-18.7,
2006,10.7,2.68-18.7,
2007,10.7,2.68-18.8,
2008,10.7,2.68-18.8,
2009,10.7,2.68-18.8,
2010,10.7,2.69-18.8,
2011,10.7,2.69-18.8,
2012,10.7,2.69-18.8,
2013,10.7,2.69-18.8,
2014,10.7,2.69-18.8,
2015,10.7,2.69-18.8,
2016,10.7,2.69-18.8,
2017,10.8,2.70-18.9,
2018,10.8,2.70-18.9,
2019,10.8,2.70-18.9,
2020,10.8,2.70-18.9,
2021,10.8,2.70-18.9,
2022,10.8,2.70-18.9,
2023,10.8,2.70-18.9,
2024,10.8,2.70-18.9,
2025,10.8,2.71-18.9,
2026,10.8,2.71-18.9,
2027,10.8,2.71-18.9,
2028,10.8,2.71-19.0,
2029,10.8,2.71-19.0,
2030,10.8,2.71-19.0,
2031,10.8,2.71-19.0,
2032,10.8,2.72-19.0,
2033,10.8,2.72-19.0,
2034,10.8,2.72-19.0,
2035,10.8,2.72-19.0,
2036,10.9,2.72-19.0,
2037,10.9,2.72-19.0,
2038,10.9,2.72-19.0,
2039,10.9,2.72-19.1,
2040,10.9,2.73-19.1,
2041,10.9,2.73-19.1,
2042,10.9,2.73-19.1,
2043,10.9,2.73-19.1,
2044,10.9,2.73-19.1,
2045,10.9,2.73-19.1,
2046,10.9,2.73-19.1,
2047,10.9,2.74-19.1,
2048,10.9,2.74-19.1,
2049,10.9,2.74-19.2,
2050,10.9,2.74-19.2,
2051,10.9,2.74-19.2,
2052,10.9,2.74-19.2,
2053,10.9,2.74-19.2,
2054,10.9,2.74-19.2,
2055,11.0,2.75-19.2,
2056,11.0,2.75-19.2,
2057,11.0,2.75-19.2,
2058,11.0,2.75-19.2,
2059,11.0,2.75-19.2,
2060,11.0,2.75-19.3,
2061,11.0,2.75-19.3,
2062,11.0,2.76-19.3,
2063,11.0,2.76-19.3,
2064,11.0,2.76-19.3,
2065,11.0,2.76-19.3,
2066,11.0,2.76-19.3,
2067,11.0,2.76-19.3,
2068,11.0,2.76-19.3,
2069,11.0,2.76-19.3,
2070,11.0,2.77-19.3,
2071,11.0,2.77-19.4,
2072,11.0,2.77-19.4,
2073,11.1,2.77-19.4,
2074,11.1,2.77-19.4,
2075,11.1,2.77-19.4,
2076,11.1,2.77-19.4,
2077,11.1,2.78-19.4,
2078,11.1,2.78-19.4,
2079,11.1,2.78-19.4,
2080,11.1,2.78-19.4,
2081,11.1,2.78-19.5,
2082,11.1,2.78-19.5,
2083,11.1,2.78-19.5,
2084,11.1,2.78-19.5,
2085,11.1,2.79-19.5,
2086,11.1,2.79-19.5,
2087,11.1,2.79-19.5,
2088,11.1,2.79-19.5,
2089,11.1,2.79-19.5,
2090,11.1,2.79-19.5,
2091,11.1,2.79-19.5,
2092,11.2,2.80-19.6,
2093,11.2,2.80-19.6,
2094,11.2,2.80-19.6,
2095,11.2,2.80-19.6,
2096,11.2,2.80-19.6,
2097,11.2,2.80-19.6,
2098,11.2,2.80-19.6,
2099,11.2,2.81-19.6,
2100,11.2,2.81-19.6,
2101,11.2,2.81-19.6,
2102,11.2,2.81-19.6,
2103,11.2,2.81-19.7,
2104,11.2,2.81-19.7,
2105,11.2,2.81-19.7,
2106,11.2,2.81-19.7,
2107,11.2,2.82-19.7,
2108,11.2,2.82-19.7,
2109,11.2,2.82-19.7,
2110,11.2,2.82-19.7,
2111,11.3,2.82-19.7,
2112,11.3,2.82-19.7,
2113,11.3,2.82-19.8,
2114,11.3,2.83-19.8,
2115,11.3,2.83-19.8,
2116,11.3,2.83-19.8,
2117,11.3,2.83-19.8,
2118,11.3,2.83-19.8,
2119,11.3,2.83-19.8,
2120,11.3,2.83-19.8,
2121,11.3,2.83-19.8,
2122,11.3,2.84-19.8,
2123,11.3,2.84-19.8,
2124,11.3,2.84-19.9,
2125,11.3,2.84-19.9,
2126,11.3,2.84-19.9,
2127,11.3,2.84-19.9,
2128,11.3,2.84-19.9,
2129,11.4,2.85-19.9,
2130,11.4,2.85-19.9,
2131,11.4,2.85-19.9,
2132,11.4,2.85-19.9,
2133,11.4,2.85-19.9,
2134,11.4,2.85-19.9,
2135,11.4,2.85-20.0,
2136,11.4,2.85-20.0,
2137,11.4,2.86-20.0,
2138,11.4,2.86-20.0,
2139,11.4,2.86-20.0,
2140,11.4,2.86-20.0,
2141,11.4,2.86-20.0,
2142,11.4,2.86-20.0,
2143,11.4,2.86-20.0,
2144,11.4,2.87-20.0,
2145,11.4,2.87-20.1,
2146,11.4,2.87-20.1,
2147,11.4,2.87-20.1,
2148,11.5,2.87-20.1,
2149,11.5,2.87-20.1,
2150,11.5,2.87-20.1,
2151,11.5,2.87-20.1,
2152,11.5,2.88-20.1,
2153,11.5,2.88-20.1,
2154,11.5,2.88-20.1,
2155,11.5,2.88-20.1,
2156,11.5,2.88-20.2,
2157,11.5,2.88-20.2,
2158,11.5,2.88-20.2,
2159,11.5,2.89-20.2,
2160,11.5,2.89-20.2,
2161,11.5,2.89-20.2,
2162,11.5,2.89-20.2,
2163,11.5,2.89-20.2,
2164,11.5,2.89-20.2,
2165,11.5,2.89-20.2,
2166,11.5,2.89-20.2,
2167,11.6,2.90-20.3,
2168,11.6,2.90-20.3,
2169,11.6,2.90-20.3,
2170,11.6,2.90-20.3,
2171,11.6,2.90-20.3,
2172,11.6,2.90-20.3,
2173,11.6,2.90-20.3,
2174,11.6,2.91-20.3,
2175,11.6,2.91-20.3,
2176,11.6,2.91-20.3,
2177,11.6,2.91-20.4,
2178,11.6,2.91-20.4,
2179,11.6,2.91-20.4,
2180,11.6,2.91-20.4,
2181,11.6,2.91-20.4,
2182,11.6,2.92-20.4,
2183,11.6,2.92-20.4,
2184,11.6,2.92-20.4,
2185,11.7,2.92-20.4,
2186,11.7,2.92-20.4,
2187,11.7,2.92-20.4,
2188,11.7,2.92-20.5,
2189,11.7,2.93-20.5,
2190,11.7,2.93-20.5,
2191,11.7,2.93-20.5,
2192,11.7,2.93-20.5,
2193,11.7,2.93-20.5,
2194,11.7,2.93-20.5,
2195,11.7,2.93-20.5,
2196,11.7,2.93-20.5,
2197,11.7,2.94-20.5,
2198,11.7,2.94-20.5,
2199,11.7,2.94-20.6,
2200,11.7,2.94-20.6,
2201,11.7,2.94-20.6,
2202,11.7,2.94-20.6,
2203,11.7,2.94-20.6,
2204,11.8,2.95-20.6,
2205,11.8,2.95-20.6,
2206,11.8,2.95-20.6,
2207,11.8,2.95-20.6,
2208,11.8,2.95-20.6,
2209,11.8,2.95-20.7,
2210,11.8,2.95-20.7,
2211,11.8,2.96-20.7,
2212,11.8,2.96-20.7,
2213,11.8,2.96-20.7,
2214,11.8,2.96-20.7,
2215,11.8,2.96-20.7,
2216,11.8,2.96-20.7,
2217,11.8,2.96-20.7,
2218,11.8,2.96-20.7,
2219,11.8,2.97-20.7,
2220,11.8,2.97-20.8,
2221,11.8,2.97-20.8,
2222,11.8,2.97-20.8,
2223,11.9,2.97-20.8,
2224,11.9,2.97-20.8,
2225,11.9,2.97-20.8,
2226,11.9,2.98-20.8,
2227,11.9,2.98-20.8,
2228,11.9,2.98-20.8,
2229,11.9,2.98-20.8,
2230,11.9,2.98-20.8,
2231,11.9,2.98-20.9,
2232,11.9,2.98-20.9,
2233,11.9,2.98-20.9,
2234,11.9,2.99-20.9,
2235,11.9,2.99-20.9,
2236,11.9,2.99-20.9,
2237,11.9,2.99-20.9,
2238,11.9,2.99-20.9,
2239,11.9,2.99-20.9,
2240,11.9,2.99-20.9,
2241,12.0,3.00-21.0,
2242,12.0,3.00-21.0,
2243,12.0,3.00-21.0,
2244,12.0,3.00-21.0,
2245,12.0,3.00-21.0,
2246,12.0,3.00-21.0,
2247,12.0,3.00-21.0,
2248,12.0,3.00-21.0,
2249,12.0,3.01-21.0,
2250,12.0,3.01-21.0,
2251,12.0,3.01-21.0,
2252,12.0,3.01-21.1,
2253,12.0,3.01-21.1,
2254,12.0,3.01-21.1,
2255,12.0,3.01-21.1,
2256,12.0,3.02-21.1,
2257,12.0,3.02-21.1,
2258,12.0,3.02-21.1,
2259,12.0,3.02-21.1,
2260,12.1,3.02-21.1,
2261,12.1,3.02-21.1,
2262,12.1,3.02-21.1,
2263,12.1,3.02-21.2,
2264,12.1,3.03-21.2,
2265,12.1,3.03-21.2,
2266,12.1,3.03-21.2,
2267,12.1,3.03-21.2,
2268,12.1,3.03-21.2,
2269,12.1,3.03-21.2,
2270,12.1,3.03-21.2,
2271,12.1,3.04-21.2,
2272,12.1,3.04-21.2,
2273,12.1,3.04-21.3,
2274,12.1,3.04-21.3,
2275,12.1,3.04-21.3,
2276,12.1,3.04-21.3,
2277,12.1,3.04-21.3,
2278,12.1,3.04-21.3,
2279,12.2,3.05-21.3,
2280,12.2,3.05-21.3,
2281,12.2,3.05-21.3,
2282,12.2,3.05-21.3,
2283,12.2,3.05-21.3,
2284,12.2,3.05-21.4,
2285,12.2,3.05-21.4,
2286,12.2,3.06-21.4,
2287,12.2,3.06-21.4,
2288,12.2,3.06-21.4,
2289,12.2,3.06-21.4,
2290,12.2,3.06-21.4,
2291,12.2,3.06-21.4,
2292,12.2,3.06-21.4,
2293,12.2,3.06-21.4,
2294,12.2,3.07-21.4,
2295,12.2,3.07-21.5,
2296,12.2,3.07-21.5,
2297,12.3,3.07-21.5,
2298,12.3,3.07-21.5,
2299,12.3,3.07-21.5,
2300,12.3,3.07-21.5,
2301,12.3,3.08-21.5,
2302,12.3,3.08-21.5,
2303,12.3,3.08-21.5,
2304,12.3,3.08-21.5,
2305,12.3,3.08-21.6,
2306,12.3,3.08-21.6,
2307,12.3,3.08-21.6,
2308,12.3,3.08-21.6,
2309,12.3,3.09-21.6,
2310,12.3,3.09-21.6,
2311,12.3,3.09-21.6,
2312,12.3,3.09-21.6,
2313,12.3,3.09-21.6,
2314,12.3,3.09-21.6,
2315,12.3,3.09-21.6,
2316,12.4,3.10-21.7,
2317,12.4,3.10-21.7,
2318,12.4,3.10-21.7,
2319,12.4,3.10-21.7,
2320,12.4,3.10-21.7,
2321,12.4,3.10-21.7,
2322,12.4,3.10-21.7,
2323,12.4,3.10-21.7,
2324,12.4,3.11-21.7,
2325,12.4,3.11-21.7,
2326,12.4,3.11-21.7,
2327,12.4,3.11-21.8,
2328,12.4,3.11-21.8,
2329,12.4,3.11-21.8,
2330,12.4,3.11-21.8,
2331,12.4,3.12-21.8,
2332,12.4,3.12-21.8,
2333,12.4,3.12-21.8,
2334,12.4,3.12-21.8,
2335,12.5,3.12-21.8,
2336,12.5,3.12-21.8,
2337,12.5,3.12-21.9,
2338,12.5,3.13-21.9,
2339,12.5,3.13-21.9,
2340,12.5,3.13-21.9,
2341,12.5,3.13-21.9,
2342,12.5,3.13-21.9,
2343,12.5,3.13-21.9,
2344,12.5,3.13-21.9,
2345,12.5,3.13-21.9,
2346,12.5,3.14-21.9,
2347,12.5,3.14-21.9,
2348,12.5,3.14-22.0,
2349,12.5,3.14-22.0,
2350,12.5,3.14-22.0,
2351,12.5,3.14-22.0,
2352,12.5,3.14-22.0,
2353,12.6,3.15-22.0,
2354,12.6,3.15-22.0,
2355,12.6,3.15-22.0,
2356,12.6,3.15-22.0,
2357,12.6,3.15-22.0,
2358,12.6,3.15-22.0,
2359,12.6,3.15-22.1,
2360,12.6,3.15-22.1,
2361,12.6,3.16-22.1,
2362,12.6,3.16-22.1,
2363,12.6,3.16-22.1,
2364,12.6,3.16-22.1,
2365,12.6,3.16-22.1,
2366,12.6,3.16-22.1,
2367,12.6,3.16-22.1,
2368,12.6,3.17-22.1,
2369,12.6,3.17-22.2,
2370,12.6,3.17-22.2,
2371,12.6,3.17-22.2,
2372,12.7,3.17-22.2,
2373,12.7,3.17-22.2,
2374,12.7,3.17-22.2,
2375,12.7,3.17-22.2,
2376,12.7,3.18-22.2,
2377,12.7,3.18-22.2,
2378,12.7,3.18-22.2,
2379,12.7,3.18-22.2,
2380,12.7,3.18-22.3,
2381,12.7,3.18-22.3,
2382,12.7,3.18-22.3,
2383,12.7,3.19-22.3,
2384,12.7,3.19-22.3,
2385,12.7,3.19-22.3,
2386,12.7,3.19-22.3,
2387,12.7,3.19-22.3,
2388,12.7,3.19-22.3,
2389,12.7,3.19-22.3,
2390,12.7,3.19-22.3,
2391,12.8,3.20-22.4,
2392,12.8,3.20-22.4,
2393,12.8,3.20-22.4,
2394,12.8,3.20-22.4,
2395,12.8,3.20-22.4,
2396,12.8,3.20-22.4,
2397,12.8,3.20-22.4,
2398,12.8,3.21-22.4,
2399,12.8,3.21-22.4,
2400,12.8,3.21-22.4,
2401,12.8,3.21-22.5,
2402,12.8,3.21-22.5,
2403,12.8,3.21-22.5,
2404,12.8,3.21-22.5,
2405,12.8,3.21-22.5,
2406,12.8,3.22-22.5,
2407,12.8,3.22-22.5,
2408,12.8,3.22-22.5,
2409,12.9,3.22-22.5,
2410,12.9,3.22-22.5,
2411,12.9,3.22-22.5,
2412,12.9,3.22-22.6,
2413,12.9,3.23-22.6,
2414,12.9,3.23-22.6,
2415,12.9,3.23-22.6,
2416,12.9,3.23-22.6,
2417,12.9,3.23-22.6,
2418,12.9,3.23-22.6,
2419,12.9,3.23-22.6,
2420,12.9,3.23-22.6,
2421,12.9,3.24-22.6,
2422,12.9,3.24-22.6,
2423,12.9,3.24-22.7,
2424,12.9,3.24-22.7,
2425,12.9,3.24-22.7,
2426,12.9,3.24-22.7,
2427,12.9,3.24-22.7,
2428,13.0,3.25-22.7,
2429,13.0,3.25-22.7,
2430,13.0,3.25-22.7,
2431,13.0,3.25-22.7,
2432,13.0,3.25-22.7,
2433,13.0,3.25-22.8,
2434,13.0,3.25-22.8,
2435,13.0,3.25-22.8,
2436,13.0,3.26-22.8,
2437,13.0,3.26-22.8,
2438,13.0,3.26-22.8,
2439,13.0,3.26-22.8,
2440,13.0,3.26-22.8,
2441,13.0,3.26-22.8,
2442,13.0,3.26-22.8,
2443,13.0,3.27-22.8,
2444,13.0,3.27-22.9,
2445,13.0,3.27-22.9,
2446,13.0,3.27-22.9,
2447,13.1,3.27-22.9,
2448,13.1,3.27-22.9,
2449,13.1,3.27-22.9,
2450,13.1,3.27-22.9,
2451,13.1,3.28-22.9,
2452,13.1,3.28-22.9,
2453,13.1,3.28-22.9,
2454,13.1,3.28-22.9,
2455,13.1,3.28-23.0,
2456,13.1,3.28-23.0,
2457,13.1,3.28-23.0,
2458,13.1,3.29-23.0,
2459,13.1,3.29-23.0,
2460,13.1,3.29-23.0,
2461,13.1,3.29-23.0,
2462,13.1,3.29-23.0,
2463,13.1,3.29-23.0,
2464,13.1,3.29-23.0,
2465,13.2,3.30-23.1,
2466,13.2,3.30-23.1,
2467,13.2,3.30-23.1,
2468,13.2,3.30-23.1,
2469,13.2,3.30-23.1,
2470,13.2,3.30-23.1,
2471,13.2,3.30-23.1,
2472,13.2,3.30-23.1,
2473,13.2,3.31-23.1,
2474,13.2,3.31-23.1,
2475,13.2,3.31-23.1,
2476,13.2,3.31-23.2,
2477,13.2,3.31-23.2,
2478,13.2,3.31-23.2,
2479,13.2,3.31-23.2,
2480,13.2,3.32-23.2,
2481,13.2,3.32-23.2,
2482,13.2,3.32-23.2,
2483,13.2,3.32-23.2,
2484,13.3,3.32-23.2,
2485,13.3,3.32-23.2,
2486,13.3,3.32-23.2,
2487,13.3,3.32-23.3,
2488,13.3,3.33-23.3,
2489,13.3,3.33-23.3,
2490,13.3,3.33-23.3,
2491,13.3,3.33-23.3,
2492,13.3,3.33-23.3,
2493,13.3,3.33-23.3,
2494,13.3,3.33-23.3,
2495,13.3,3.34-23.3,
2496,13.3,3.34-23.3,
2497,13.3,3.34-23.4,
2498,13.3,3.34-23.4,
2499,13.3,3.34-23.4,
2500,13.3,3.34-23.4,
2501,13.3,3.34-23.4,
2502,13.3,3.34-23.4,
2503,13.4,3.35-23.4,
2504,13.4,3.35-23.4,
2505,13.4,3.35-23.4,
2506,13.4,3.35-23.4,
2507,13.4,3.35-23.4,
2508,13.4,3.35-23.5,
2509,13.4,3.35-23.5,
2510,13.4,3.36-23.5,
2511,13.4,3.36-23.5,
2512,13.4,3.36-23.5,
2513,13.4,3.36-23.5,
2514,13.4,3.36-23.5,
2515,13.4,3.36-23.5,
2516,13.4,3.36-23.5,
2517,13.4,3.36-23.5,
2518,13.4,3.37-23.5,
2519,13.4,3.37-23.6,
2520,13.4,3.37-23.6,
2521,13.5,3.37-23.6,
2522,13.5,3.37-23.6,
2523,13.5,3.37-23.6,
2524,13.5,3.37-23.6,
2525,13.5,3.38-23.6,
2526,13.5,3.38-23.6,
2527,13.5,3.38-23.6,
2528,13.5,3.38-23.6,
2529,13.5,3.38-23.7,
2530,13.5,3.38-23.7,
2531,13.5,3.38-23.7,
2532,13.5,3.38-23.7,
2533,13.5,3.39-23.7,
2534,13.5,3.39-23.7,
2535,13.5,3.39-23.7,
2536,13.5,3.39-23.7,
2537,13.5,3.39-23.7,
2538,13.5,3.39-23.7,
2539,13.5,3.39-23.7,
2540,13.6,3.40-23.8,
2541,13.6,3.40-23.8,
2542,13.6,3.40-23.8,
2543,13.6,3.40-23.8,
2544,13.6,3.40-23.8,
2545,13.6,3.40-23.8,
2546,13.6,3.40-23.8,
2547,13.6,3.40-23.8,
2548,13.6,3.41-23.8,
2549,13.6,3.41-23.8,
2550,13.6,3.41-23.8,
2551,13.6,3.41-23.9,
2552,13.6,3.41-23.9,
2553,13.6,3.41-23.9,
2554,13.6,3.41-23.9,
2555,13.6,3.42-23.9,
2556,13.6,3.42-23.9,
2557,13.6,3.42-23.9,
2558,13.6,3.42-23.9,
2559,13.7,3.42-23.9,
2560,13.7,3.42-23.9,
2561,13.7,3.42-24.0,
2562,13.7,3.42-24.0,
2563,13.7,3.43-24.0,
2564,13.7,3.43-24.0,
2565,13.7,3.43-24.0,
2566,13.7,3.43-24.0,
2567,13.7,3.43-24.0,
2568,13.7,3.43-24.0,
2569,13.7,3.43-24.0,
2570,13.7,3.44-24.0,
2571,13.7,3.44-24.0,
2572,13.7,3.44-24.1,
2573,13.7,3.44-24.1,
2574,13.7,3.44-24.1,
2575,13.7,3.44-24.1,
2576,13.7,3.44-24.1,
2577,13.8,3.45-24.1,
2578,13.8,3.45-24.1,
2579,13.8,3.45-24.1,
2580,13.8,3.45-24.1,
2581,13.8,3.45-24.1,
2582,13.8,3.45-24.1,
2583,13.8,3.45-24.2,
2584,13.8,3.45-24.2,
2585,13.8,3.46-24.2,
2586,13.8,3.46-24.2,
2587,13.8,3.46-24.2,
2588,13.8,3.46-24.2,
2589,13.8,3.46-24.2,
2590,13.8,3.46-24.2,
2591,13.8,3.46-24.2,
2592,13.8,3.47-24.2,
2593,13.8,3.47-24.2,
2594,13.8,3.47-24.3,
2595,13.8,3.47-24.3,
2596,13.9,3.47-24.3,
2597,13.9,3.47-24.3,
2598,13.9,3.47-24.3,
2599,13.9,3.47-24.3,
2600,13.9,3.48-24.3,
2601,13.9,3.48-24.3,
2602,13.9,3.48-24.3,
2603,13.9,3.48-24.3,
2604,13.9,3.48-24.4,
2605,13.9,3.48-24.4,
2606,13.9,3.48-24.4,
2607,13.9,3.49-24.4,
2608,13.9,3.49-24.4,
2609,13.9,3.49-24.4,
2610,13.9,3.49-24.4,
2611,13.9,3.49-24.4,
2612,13.9,3.49-24.4,
2613,13.9,3.49-24.4,
2614,13.9,3.49-24.4,
2615,14.0,3.50-24.5,
2616,14.0,3.50-24.5,
2617,14.0,3.50-24.5,
2618,14.0,3.50-24.5,
2619,14.0,3.50-24.5,
2620,14.0,3.50-24.5,
2621,14.0,3.50-24.5,
2622,14.0,3.51-24.5,
2623,14.0,3.51-24.5,
2624,14.0,3.51-24.5,
2625,14.0,3.51-24.5,
2626,14.0,3.51-24.6,
2627,14.0,3.51-24.6,
2628,14.0,3.51-24.6,
2629,14.0,3.51-24.6,
2630,14.0,3.52-24.6,
2631,14.0,3.52-24.6,
2632,14.0,3.52-24.6,
2633,14.0,3.52-24.6,
2634,14.1,3.52-24.6,
2635,14.1,3.52-24.6,
2636,14.1,3.52-24.7,
2637,14.1,3.53-24.7,
2638,14.1,3.53-24.7,
2639,14.1,3.53-24.7,
2640,14.1,3.53-24.7,
2641,14.1,3.53-24.7,
2642,14.1,3.53-24.7,
2643,14.1,3.53-24.7,
2644,14.1,3.53-24.7,
2645,14.1,3.54-24.7,
2646,14.1,3.54-24.7,
2647,14.1,3.54-24.8,
2648,14.1,3.54-24.8,
2649,14.1,3.54-24.8,
2650,14.1,3.54-24.8,
